Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,Date            ,                                                                                ,        ,0.000000,24836.000000,0,24836,                                                                                ,1,                                
2,SoftVersion     ,                                                                                ,        ,0.000000,65534.000000,0,65534,                                                                                ,1,                                
3,Mode            ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
4,S.AS.Comfort    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
5,S.C.Press       ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
6,S.AS.MaxPress   ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
7,S.AS.MinPress   ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
8,S.RampEnable    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
9,S.RampTime      ,                                                                                ,min     ,0.000000,60.000000,0,60,                                                                                ,1,                                
10,S.C.StartPress  ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
11,S.EPR.EPRType   ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
12,S.EPR.Level     ,                                                                                ,cmH2O   ,1.000000,3.000000,50,150,                                                                                ,1,                                
13,S.SmartStart    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
14,S.SmartStop     ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
15,S.ABFilter      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
16,S.Mask          ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
17,S.Tube          ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
18,Humidifier      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
19,S.ClimateControl,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
20,S.HumLevel      ,                                                                                ,        ,1.000000,8.000000,1,8,                                                                                ,1,                                
21,HeatedTube      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
22,S.Temp          ,                                                                                ,C       ,16.000000,30.000000,160,300,                                                                                ,1,                                
23,S.PtAccess      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
24,S.Ramp.Access   ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
25,S.EPR.Access    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
26,S.Hum.Access    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
27,S.Temp.Access   ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
28,AmbHumidity.50  ,                                                                                ,mg/L    ,0.000000,100.000000,0,100,                                                                                ,1,                                
29,HumTemp.50      ,                                                                                ,C       ,0.000000,95.000000,0,950,                                                                                ,1,                                
30,HumPow.50       ,                                                                                ,        ,0.000000,100.000000,0,100,                                                                                ,1,                                
31,HTubeTemp.50    ,                                                                                ,C       ,0.000000,40.000000,0,400,                                                                                ,1,                                
32,HTubePow.50     ,                                                                                ,        ,0.000000,100.000000,0,100,                                                                                ,1,                                
33,MaskOn          ,                                                                                ,min     ,0.000000,1440.000000,0,1440,                                                                                ,20,                                
34,MaskOff         ,                                                                                ,min     ,0.000000,1440.000000,0,1440,                                                                                ,20,                                
35,MaskEvents      ,                                                                                ,        ,0.000000,255.000000,0,255,                                                                                ,1,                                
36,Duration        ,                                                                                ,min     ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
37,OnDuration      ,                                                                                ,min     ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
38,PatientHours    ,                                                                                ,hrs     ,0.000000,65534.000000,0,65534,                                                                                ,1,                                
39,BlowHours       ,                                                                                ,hrs     ,0.000000,65534.000000,0,65534,                                                                                ,1,                                
40,BlowPress.95    ,                                                                                ,cmH2O   ,0.000000,45.000000,0,2250,                                                                                ,1,                                
41,BlowPress.50    ,                                                                                ,cmH2O   ,0.000000,45.000000,0,2250,                                                                                ,1,                                
42,BlowPress.5     ,                                                                                ,cmH2O   ,0.000000,45.000000,0,2250,                                                                                ,1,                                
43,MaskPress.Max   ,                                                                                ,cmH2O   ,0.000000,30.000000,0,1500,                                                                                ,1,                                
44,MaskPress.95    ,                                                                                ,cmH2O   ,0.000000,30.000000,0,1500,                                                                                ,1,                                
45,MaskPress.50    ,                                                                                ,cmH2O   ,0.000000,30.000000,0,1500,                                                                                ,1,                                
46,PressWoLeak.95  ,                                                                                ,cmH2O   ,0.000000,30.000000,0,1500,                                                                                ,1,                                
47,PressWoLeak.50  ,                                                                                ,cmH2O   ,0.000000,30.000000,0,1500,                                                                                ,1,                                
48,Flow.95         ,                                                                                ,L/s     ,0.000000,3.000000,0,1500,                                                                                ,1,                                
49,BlowFlow.50     ,                                                                                ,L/min   ,0.000000,250.000000,0,25000,                                                                                ,1,                                
50,Flow.5          ,                                                                                ,L/s     ,0.000000,3.000000,0,1500,                                                                                ,1,                                
51,Leak.Max        ,                                                                                ,L/s     ,0.000000,2.000000,0,100,                                                                                ,1,                                
52,Leak.95         ,                                                                                ,L/s     ,0.000000,2.000000,0,100,                                                                                ,1,                                
53,Leak.50         ,                                                                                ,L/s     ,0.000000,2.000000,0,100,                                                                                ,1,                                
54,MinVent.Max     ,                                                                                ,L/min   ,0.000000,30.000000,0,240,                                                                                ,1,                                
55,MinVent.95      ,                                                                                ,L/min   ,0.000000,30.000000,0,240,                                                                                ,1,                                
56,MinVent.50      ,                                                                                ,L/min   ,0.000000,30.000000,0,240,                                                                                ,1,                                
57,RespRate.Max    ,                                                                                ,bpm     ,0.000000,50.000000,0,250,                                                                                ,1,                                
58,RespRate.95     ,                                                                                ,bpm     ,0.000000,50.000000,0,250,                                                                                ,1,                                
59,RespRate.50     ,                                                                                ,bpm     ,0.000000,50.000000,0,250,                                                                                ,1,                                
60,TidVol.Max      ,                                                                                ,L       ,0.000000,4.000000,0,200,                                                                                ,1,                                
61,TidVol.95       ,                                                                                ,L       ,0.000000,4.000000,0,200,                                                                                ,1,                                
62,TidVol.50       ,                                                                                ,L       ,0.000000,4.000000,0,200,                                                                                ,1,                                
63,AHI             ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
64,AI              ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
65,HI              ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
66,OAI             ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
67,CAI             ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
68,UAI             ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
69,OHI             ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
70,CHI             ,                                                                                ,        ,0.000000,240.000000,0,2400,                                                                                ,1,                                
71,CSR             ,                                                                                ,min     ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
72,CycleCSR        ,                                                                                ,s       ,0.000000,1500.000000,0,1500,                                                                                ,1,                                
73,NbResp_CycleCSR ,                                                                                ,        ,0.000000,1500.000000,0,1500,                                                                                ,1,                                
74,Snore           ,                                                                                ,min     ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
75,Fault.Device    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
76,Fault.Alarm     ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
77,Fault.Humidifier,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
78,Fault.HeatedTube,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
79,Crc16           ,                                                                                ,        ,-32768.000000,32767.000000,-32768,32767,                                                                                ,1,                                
