Signal,Label,Transducer,Units,Min,Max,Dmin,Dmax,PreFilter,Smp/Rec,Reserved
1,Date            ,                                                                                ,        ,0.000000,24836.000000,0,24836,                                                                                ,1,                                
2,MaskOn          ,                                                                                ,min.    ,0.000000,1440.000000,0,1440,                                                                                ,10,                                
3,MaskOff         ,                                                                                ,min.    ,0.000000,1440.000000,0,1440,                                                                                ,10,                                
4,MaskEvents      ,                                                                                ,        ,0.000000,255.000000,0,255,                                                                                ,1,                                
5,Duration        ,                                                                                ,min.    ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
6,OnDuration      ,                                                                                ,min.    ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
7,PatientHours    ,                                                                                ,hrs     ,0.000000,65534.000000,0,65534,                                                                                ,1,                                
8,Mode            ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
9,S.RampEnable    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
10,S.RampTime      ,                                                                                ,min.    ,5.000000,45.000000,5,45,                                                                                ,1,                                
11,S.C.StartPress  ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
12,S.C.Press       ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
13,S.EPR.ClinEnable,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
14,S.EPR.EPREnable ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
15,S.EPR.Level     ,                                                                                ,cmH2O   ,1.000000,3.000000,50,150,                                                                                ,1,                                
16,S.EPR.EPRType   ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
17,S.AS.Comfort    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
18,S.AS.StartPress ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
19,S.AS.MaxPress   ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
20,S.AS.MinPress   ,                                                                                ,cmH2O   ,4.000000,20.000000,200,1000,                                                                                ,1,                                
21,S.SmartStart    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
22,S.PtAccess      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
23,S.ABFilter      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
24,S.Mask          ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
25,S.Tube          ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
26,S.ClimateControl,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
27,S.HumEnable     ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
28,S.HumLevel      ,                                                                                ,        ,1.000000,8.000000,1,8,                                                                                ,1,                                
29,S.TempEnable    ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
30,S.Temp          ,                                                                                ,°C     ,16.000000,30.000000,160,300,                                                                                ,1,                                
31,HeatedTube      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
32,Humidifier      ,                                                                                ,        ,0.000000,16.000000,0,16,                                                                                ,1,                                
33,BlowPress.95    ,                                                                                ,cmH2O   ,0.000000,45.000000,0,2250,                                                                                ,1,                                
34,BlowPress.5     ,                                                                                ,cmH2O   ,0.000000,45.000000,0,2250,                                                                                ,1,                                
35,Flow.95         ,                                                                                ,L/s     ,0.000000,3.000000,0,1500,                                                                                ,1,                                
36,Flow.5          ,                                                                                ,L/s     ,0.000000,3.000000,0,1500,                                                                                ,1,                                
37,BlowFlow.50     ,                                                                                ,L/min   ,0.000000,250.000000,0,25000,                                                                                ,1,                                
38,AmbHumidity.50  ,                                                                                ,mg/L    ,0.000000,100.000000,0,100,                                                                                ,1,                                
39,HumTemp.50      ,                                                                                ,°C     ,0.000000,95.000000,0,950,                                                                                ,1,                                
40,HTubeTemp.50    ,                                                                                ,°C     ,0.000000,40.000000,0,400,                                                                                ,1,                                
41,HTubePow.50     ,                                                                                ,        ,0.000000,100.000000,0,100,                                                                                ,1,                                
42,HumPow.50       ,                                                                                ,        ,0.000000,100.000000,0,100,                                                                                ,1,                                
43,SpO2.50         ,                                                                                ,%       ,0.000000,100.000000,0,100,                                                                                ,1,                                
44,SpO2.95         ,                                                                                ,%       ,0.000000,100.000000,0,100,                                                                                ,1,                                
45,SpO2.Max        ,                                                                                ,%       ,0.000000,100.000000,0,100,                                                                                ,1,                                
46,SpO2Thresh      ,                                                                                ,min.    ,0.000000,1440.000000,0,1440,                                                                                ,1,                                
47,MaskPress.50    ,                                                                                ,cmH2O   ,0.000000,30.000000,0,1500,                                                                                ,1,                                
